time	V(vout)
5.536960626029926e-03	-1.882874e+00
5.546726251029926e-03	-2.406492e+00
5.556491876029926e-03	-2.921058e+00
5.566257501029926e-03	-3.424631e+00
5.576023126029925e-03	-3.915314e+00
5.585788751029925e-03	-4.391255e+00
5.595554376029925e-03	-4.850661e+00
5.605320001029925e-03	-5.291799e+00
5.615085626029925e-03	-5.713003e+00
5.624851251029924e-03	-6.112688e+00
5.634616876029924e-03	-6.489344e+00
5.644382501029924e-03	-6.841554e+00
5.654148126029924e-03	-7.167988e+00
5.673679376029923e-03	-7.738717e+00
5.693210626029923e-03	-8.192945e+00
5.712741876029923e-03	-8.523863e+00
5.732273126029922e-03	-8.726490e+00
5.751804376029922e-03	-8.797802e+00
5.771335626029921e-03	-8.736765e+00
5.790866876029921e-03	-8.544341e+00
5.810398126029920e-03	-8.223458e+00
5.829929376029920e-03	-7.778930e+00
5.849460626029920e-03	-7.217473e+00
5.859226251029919e-03	-6.895470e+00
5.868991876029919e-03	-6.547534e+00
5.878757501029919e-03	-6.174971e+00
5.888523126029919e-03	-5.779182e+00
5.898288751029919e-03	-5.361656e+00
5.908054376029918e-03	-4.923960e+00
5.917820001029918e-03	-4.467739e+00
5.927585626029918e-03	-3.994705e+00
5.937351251029918e-03	-3.506638e+00
5.947116876029918e-03	-3.005369e+00
5.956882501029917e-03	-2.492782e+00
5.966648126029917e-03	-1.970804e+00
5.976413751029917e-03	-1.441396e+00
5.986179376029917e-03	-9.065489e-01
5.995945001029917e-03	-3.682740e-01
6.005710626029916e-03	1.714035e-01
6.015476251029916e-03	7.104528e-01
6.025241876029916e-03	1.246844e+00
6.035007501029916e-03	1.778558e+00
6.044773126029915e-03	2.303592e+00
6.054538751029915e-03	2.819967e+00
6.064304376029915e-03	3.325737e+00
6.074070001029915e-03	3.818996e+00
6.083835626029915e-03	4.297885e+00
6.093601251029914e-03	4.760600e+00
6.103366876029914e-03	5.205394e+00
6.113132501029914e-03	5.630595e+00
6.132663751029914e-03	6.416442e+00
6.152195001029913e-03	7.105686e+00
6.171726251029913e-03	7.687892e+00
6.191257501029912e-03	8.154320e+00
6.210788751029912e-03	8.497981e+00
6.230320001029912e-03	8.713741e+00
6.249851251029911e-03	8.798397e+00
6.269382501029911e-03	8.750718e+00
6.288913751029910e-03	8.571467e+00
6.308445001029910e-03	8.263383e+00
6.327976251029909e-03	7.831137e+00
6.347507501029909e-03	7.281262e+00
6.367038751029909e-03	6.622057e+00
6.386570001029908e-03	5.863460e+00
6.396335626029908e-03	5.450325e+00
6.406101251029908e-03	5.016373e+00
6.415866876029908e-03	4.563607e+00
6.425632501029907e-03	4.093655e+00
6.435398126029907e-03	3.608306e+00
6.445163751029907e-03	3.109379e+00
6.454929376029907e-03	2.598750e+00
6.464695001029907e-03	2.078338e+00
6.474460626029906e-03	1.550099e+00
6.484226251029906e-03	1.016019e+00
6.493991876029906e-03	4.781072e-01
6.503757501029906e-03	-6.161409e-02
6.513523126029905e-03	-6.011136e-01
6.523288751029905e-03	-1.138361e+00
6.533054376029905e-03	-1.671332e+00
6.542820001029905e-03	-2.198021e+00
6.552585626029905e-03	-2.716443e+00
6.562351251029904e-03	-3.224644e+00
6.572116876029904e-03	-3.720707e+00
6.581882501029904e-03	-4.202764e+00
6.591648126029904e-03	-4.668996e+00
6.601413751029904e-03	-5.117644e+00
6.611179376029903e-03	-5.547017e+00
6.620945001029903e-03	-5.955495e+00
6.630710626029903e-03	-6.341538e+00
6.640476251029903e-03	-6.703691e+00
6.650241876029903e-03	-7.040588e+00
6.660007501029902e-03	-7.350961e+00
6.679538751029902e-03	-7.887563e+00
6.699070001029902e-03	-8.305429e+00
6.718601251029901e-03	-8.598298e+00
6.738132501029901e-03	-8.761758e+00
6.757663751029900e-03	-8.793383e+00
6.777195001029900e-03	-8.692739e+00
6.796726251029899e-03	-8.461381e+00
6.816257501029899e-03	-8.102810e+00
6.835788751029899e-03	-7.622418e+00
6.845554376029898e-03	-7.338737e+00
6.855320001029898e-03	-7.027453e+00
6.865085626029898e-03	-6.689739e+00
6.874851251029898e-03	-6.326863e+00
6.884616876029898e-03	-5.940192e+00
6.894382501029897e-03	-5.531177e+00
6.904148126029897e-03	-5.101355e+00
6.913913751029897e-03	-4.652342e+00
6.923679376029897e-03	-4.185824e+00
6.933445001029897e-03	-3.703553e+00
6.943210626029896e-03	-3.207341e+00
6.952976251029896e-03	-2.699053e+00
6.962741876029896e-03	-2.180598e+00
6.972507501029896e-03	-1.653924e+00
6.982273126029895e-03	-1.121012e+00
6.992038751029895e-03	-5.838659e-01
7.001804376029895e-03	-4.450588e-02
7.011570001029895e-03	4.950385e-01
7.021335626029895e-03	1.032736e+00
7.031101251029894e-03	1.566563e+00
7.040866876029894e-03	2.094508e+00
7.050632501029894e-03	2.614582e+00
7.060398126029894e-03	3.124825e+00
7.070163751029894e-03	3.623314e+00
7.079929376029893e-03	4.108171e+00
7.089695001029893e-03	4.577568e+00
7.099460626029893e-03	5.029736e+00
7.109226251029893e-03	5.462970e+00
7.128757501029892e-03	6.266629e+00
7.148288751029892e-03	6.976090e+00
7.167820001029892e-03	7.580458e+00
7.187351251029891e-03	8.070658e+00
7.206882501029891e-03	8.439343e+00
7.226413751029890e-03	8.681004e+00
7.245945001029890e-03	8.792042e+00
7.265476251029889e-03	8.770833e+00
7.285007501029889e-03	8.617740e+00
7.304538751029889e-03	8.335110e+00
7.324070001029888e-03	7.927231e+00
7.343601251029888e-03	7.400273e+00
7.363132501029887e-03	6.762190e+00
7.382663751029887e-03	6.022602e+00
7.392429376029887e-03	5.618165e+00
7.402195001029887e-03	5.192315e+00
7.411960626029886e-03	4.746870e+00
7.421726251029886e-03	4.283585e+00
7.431491876029886e-03	3.804178e+00
7.441257501029886e-03	3.310461e+00
7.451023126029886e-03	2.804284e+00
7.460788751029885e-03	2.287553e+00
7.470554376029885e-03	1.762208e+00
7.480320001029885e-03	1.230224e+00
7.490085626029885e-03	6.936027e-01
7.499851251029884e-03	1.543616e-01
7.509616876029884e-03	-3.854705e-01
7.519382501029884e-03	-9.238619e-01
7.529148126029884e-03	-1.458786e+00
7.538913751029884e-03	-1.988227e+00
7.548679376029883e-03	-2.510192e+00
7.558445001029883e-03	-3.022713e+00
7.568210626029883e-03	-3.523859e+00
7.577976251029883e-03	-4.011740e+00
7.587741876029883e-03	-4.484516e+00
7.597507501029882e-03	-4.940404e+00
7.607273126029882e-03	-5.377686e+00
7.617038751029882e-03	-5.794711e+00
7.626804376029882e-03	-6.189908e+00
7.636570001029882e-03	-6.561786e+00
7.646335626029881e-03	-6.908943e+00
7.656101251029881e-03	-7.230072e+00
7.675632501029881e-03	-7.789509e+00
7.695163751029880e-03	-8.231682e+00
7.714695001029880e-03	-8.549965e+00
7.734226251029879e-03	-8.739564e+00
7.753757501029879e-03	-8.797653e+00
7.773288751029879e-03	-8.723402e+00
7.792820001029878e-03	-8.517968e+00
7.812351251029878e-03	-8.184472e+00
7.831882501029877e-03	-7.727920e+00
7.841648126029877e-03	-7.455584e+00
7.851413751029877e-03	-7.155206e+00
7.861179376029877e-03	-6.827917e+00
7.870945001029877e-03	-6.474947e+00
7.880710626029876e-03	-6.097625e+00
7.890476251029876e-03	-5.697367e+00
7.900241876029876e-03	-5.275679e+00
7.910007501029876e-03	-4.834144e+00
7.919773126029876e-03	-4.374421e+00
7.929538751029875e-03	-3.898237e+00
7.939304376029875e-03	-3.407381e+00
7.949070001029875e-03	-2.903696e+00
7.958835626029875e-03	-2.389076e+00
7.968601251029874e-03	-1.865453e+00
7.978366876029874e-03	-1.334798e+00
7.988132501029874e-03	-7.991035e-01
7.997898126029874e-03	-2.603858e-01
8.007663751029874e-03	2.793286e-01
8.017429376029873e-03	8.180085e-01
8.027195001029873e-03	1.353626e+00
8.036960626029873e-03	1.884163e+00
8.046726251029873e-03	2.407623e+00
8.056491876029873e-03	2.922031e+00
8.066257501029872e-03	3.425450e+00
8.076023126029872e-03	3.915982e+00
8.085788751029872e-03	4.391779e+00
8.095554376029872e-03	4.851047e+00
8.105320001029872e-03	5.292055e+00
8.115085626029871e-03	5.713147e+00
8.134616876029871e-03	6.489896e+00
8.154148126029871e-03	7.168880e+00
8.173679376029870e-03	7.739875e+00
8.193210626029870e-03	8.194309e+00
8.212741876029869e-03	8.525380e+00
8.232273126029869e-03	8.728143e+00
8.251804376029868e-03	8.799587e+00
8.271335626029868e-03	8.738685e+00
8.290866876029868e-03	8.546394e+00
8.310398126029867e-03	8.225652e+00
8.329929376029867e-03	7.781319e+00
8.349460626029866e-03	7.220109e+00
8.368991876029866e-03	6.550492e+00
8.388523126029866e-03	5.782562e+00
8.398288751029865e-03	5.365141e+00
8.408054376029865e-03	4.927271e+00
8.417820001029865e-03	4.470936e+00
8.427585626029865e-03	3.997759e+00
8.437351251029864e-03	3.509548e+00
8.447116876029864e-03	3.008129e+00
8.456882501029864e-03	2.495388e+00
8.466648126029864e-03	1.973253e+00
8.476413751029864e-03	1.443686e+00
8.486179376029863e-03	9.086790e-01
8.495945001029863e-03	3.702427e-01
8.505710626029863e-03	-1.695968e-01
